Questions,Answer
Is oral thrush contagious?,"'In general, thrush (or candidiasis) is not ''contagious'"". However, a breast-feeding infant with thrush may transmit it to the mother's breast by contact.""'Technically, oral thrush could be transmitted through kissing or oral sex, though this is uncommon. Thrush is an opportunistic infection, and its development depends on the strength of your immune system.' "
What are thrush symptoms and signs?,"'Thrush is characterized by a white coating or white patches on the tongue, mouth, inner cheeks, and the back of the throat. The tissue under the white patches is often red, raw, and sore. The lesions can be painful and even bleed when scraped. Oral thrush often looks like cottage cheese or milk curds. Some general symptoms and signs of thrush are as follows:''Oral thrush can also lead to a condition called ''burning mouth syndrome'', which can have symptoms of a painful burning sensation, mouth dryness, soreness, tingling or numbness throughout the mouth and tongue, and sometimes an abnormal bitter or ''metallic taste in the mouth''.''In severe cases of thrush, the ''esophagus'', which leads down to the stomach, may also be involved. This will cause ''pain'' with swallowing. If someone has a weakened immune system (''HIV/AIDS'', ''cancer'', chemotherapy, etc.), the ''Candida'' fungus can spread to other parts of the body and cause a systemic infection. If a person has signs or symptoms of thrush and develops a ''fever'', shaking or ''chills'', or ''difficulty swallowing'', contact a doctor immediately.'   Characteristic white patches Redness under the white patches White tongue Cracking at the outer edges of the lips (cheilosis) Dry mouth Feeling of food stuck in the throat or sore throat Soreness in teeth Strange or unpleasant taste in mouth Bad breath"
How do physicians diagnose thrush?,"'Candidiasis is clinically diagnosed by a physician or dentist when the characteristic-looking white patches are found in the mouth or throat.''To confirm the diagnosis, or if there is question about whether the white patches are caused by the ''Candida'' fungus, a scraping may be done. The doctor or dentist can scrape off a small amount of the white matter from the mouth or throat and look at it under a microscope and view the characteristic yeast-shaped fungi.''Thrush located farther down the throat or in the esophagus is usually found by doing a procedure called an ''endoscopy''. In this procedure, the doctor passes a small camera through the back of the throat into the esophagus and into the stomach to observe the tissue and take samples. If the white lesions are found, they may be biopsied or scraped to confirm the diagnosis of thrush. This procedure is usually performed by a ''gastroenterologist''.' "
What is the treatment for thrush?,"'Treatment of thrush depends on the cause and severity of the infection.''If thrush is caused by something reversible, such as taking antibiotics, smoking, ill-fitting dentures, or poorly controlled ''diabetes'', these factors must be corrected as part of the treatment.'""Infants, toddlers, and children with thrush often do not require treatment. In children who have thrush for more than a few weeks, a child's pediatrician may prescribe antifungal ""'nystatin'' (''Mycostatin'', Nilstat, Nystex) drops.''Antifungal medications may be used to treat thrush. If an adult patient is diagnosed with a mild case of thrush, the doctor may prescribe an antifungal mouthwash (nystatin) or lozenges (''clotrimazole'' [Mycelex]) for short-term use. ''Miconazole'' buccal (Oravig) is an antifungal medicine that consists of a tablet placed in the upper gum region and dissolved in the mouth to get rid of thrush.''For more severe cases of thrush or if someone has other reasons for a weakened immune system, he or she may need stronger systemic antifungal medicines, such as ''fluconazole'' (''Diflucan'') or ''itraconazole'' (''Sporanox''). These antifungal medicines usually work better than ''ketoconazole'' (''Nizoral''). For severe or resistant thrush, amphotericin B may be prescribed instead of fluconazole or itraconazole.' "
Are there home remedies for thrush?,"'Home remedies for ''oral candidiasis'' are aimed at decreasing risk factors for thrush as well as preventing overgrowth of ''Candida'' yeast.''Home remedies that may reduce the discomfort of thrush include''Gentian violet (1%) is an ''over-the-counter'' natural treatment that sometimes works as a home remedy for thrush. It is a dye that kills bacteria and fungi, and it is available without a prescription. Talk to a doctor before using gentian violet.''Grapefruit seed extract is sometimes used by ''nursing'' mothers who have developed thrush of the nipples. It can be applied topically (on the skin) to the affected area or taken orally.''Apple cider vinegar has antifungal properties that may help regulate ''Candida'' in the body. Mix 1 tablespoon into 8 oz. water and drink daily.''Baking soda may also help kill the yeast that causes the fungal infection and maintain healthy pH levels in the mouth. Mix 1-2 tablespoons baking soda with water until it forms a paste. Apply the paste with a cotton ball onto the tongue and inner cheeks. Let it sit for a few minutes, then rinse with warm water. Repeat three times a day for several days. Alternately, mix ½ teaspoon baking soda into a glass of water and use as a mouth rinse twice daily.''Raw virgin coconut oil has antifungal properties. Nursing mothers sometimes use it on their nipples and the baby’s mouth to prevent spread of thrush.''Methylene blue'' oral is an antiseptic that is reported to help relieve oral candidiasis. Consult a doctor before using this or any supplement.' Brush the teeth with a soft toothbrush. Rinse the mouth with a diluted 3% hydrogen peroxide solution. Rinse the mouth with warm saltwater. Avoid mouthwash as it can alter the normal flora of the mouth. Keep dentures clean and see a dentist if they do not fit correctly. Eat unsweetened yogurt while taking antibiotics. Lactobacillus acidophilus supplements may help maintain a healthy balance of Candida. drinking cold liquids, or eating frozen or ice treats; eating soft, easy-to-swallow foods; and drinking from a straw if the patches are painful."
What types of doctors treat oral thrush?,"""A primary care provider (PCP) such as a family practitioner, internist, or child's pediatrician may diagnose and treat oral thrush. Oral thrush may also be treated by a dentist. Severe infections usually require consultation with an immunologist and/or an infectious-disease specialist."" "
What is the prognosis of thrush?,"'The prognosis of candidiasis and how long it will last depends on the severity of the infection and the status of the immune system of the patient.''Mild cases of thrush caused by some of the reversible risk factors are generally easily treated, and the prognosis is good. Once you have started treatment for oral thrush, symptoms generally go away in about two weeks. In some cases, thrush will last for weeks even with treatment. Recurrent thrush can happen if thrush is not properly treated in the first place.'""Thrush in infants and children is rarely serious or life-threatening and often goes away on its own without any need for medical treatment. If a child's thrush does not improve within two weeks, consult the child's pediatrician.""'Patients with weakened immune systems are at risk for severe and life-threatening complications. These patients can become critically ill or die from severe ''Candida'' infections. ''Candida'' can spread throughout the body to other organs and can cause severe dysfunction. Systemic antifungal treatment in addition to long-term hospitalization may be necessary.' "
Is it possible to prevent thrush?,"'Thrush can be easily prevented in healthy adults by modifying risk factors that contribute to ''Candida'' fungus overgrowth.''Risk factor modifications for ''prevention'' of candidiasis include the following:''To prevent ''thrush in babies'' or nursing infants, keep pacifiers and bottle nipples clean and sterilized. Nursing mothers should discuss the use of any over-the-counter or prescribed medications with their doctor before ''breastfeeding'' as some medications may increase the risk of causing thrush.' Brush and floss teeth and gums regularly, and maintain proper oral hygiene. See a dentist regularly. Make sure dentures are clean, properly maintained, and fit well. Keep diabetes under control. Quit smoking. Eat a balanced, healthy diet low in sugar and yeast. Limit use of antibiotics. Only use as prescribed by a physician. Chlorhexidine (Peridex, Hibiclens) mouthwash may be recommended prevent thrush in people who take immunosuppressant medications."
What is yellow fever? What is the history of yellow fever?,"'Yellow fever is an acute viral infectious disease transmitted to humans through the bite of infected mosquitoes. Though many cases of yellow fever are mild and self-limiting, yellow fever can also be a life-threatening disease causing hemorrhagic fever and ''hepatitis'' (hence the term ""yellow"" from the ''jaundice'' it can cause). This viral disease occurs in tropical areas of Africa and South America, and each year there are an estimated 200,000 cases of yellow fever worldwide, leading to approximately 30,000 deaths. An increase in the number of cases of yellow fever in the last few decades has led to campaigns aimed at improving public awareness and ''disease prevention'' for this re-emerging infectious disease.''Several significant yellow fever outbreaks have occurred throughout history, with the first documented outbreak occurring in the Yucatan peninsula during the 17th century. During the late 18th century, a severe yellow fever outbreak struck New England and several North American port cities. The city of Philadelphia lost about one-tenth of its population during the 1793 yellow fever epidemic, causing many notable figures in American politics to flee the city. The last major yellow fever outbreak in North America occurred in New Orleans in 1905.''In the late 19th century, Dr. Carlos Finlay, a Cuban physician, first proposed the theory that a mosquito transmits yellow fever. It was not until 1900, using earlier research from Dr. Finlay as a foundation, that U.S. Army Major Dr. Walter Reed and his team proved that mosquitoes, in fact, transmit yellow fever. This groundbreaking idea was instrumental in leading to the subsequent control of yellow fever in various regions. The virus responsible for yellow fever was later isolated in the late 1920s, and this breakthrough discovery later allowed Max Theiler to develop the first ''vaccine'' against yellow fever in the 1930s. This successful vaccine helped control and eliminate yellow fever from various countries in Africa and South America during the mid-20th century.''Unfortunately, yellow fever has had a large outbreak of the disease that began in 2017 and has spread to several Brazilian states. In addition, some unvaccinated ''travelers'' became infected and several died. The CDC recommends ''travelers'' (age 9 months and older) are vaccinated against the disease at least 10 days before arriving in Brazil. Those people who are unvaccinated and traveling in Brazil should avoid areas where vaccination is recommended (see map below from CDC; most areas of Brazil are included).' "
What causes yellow fever?,"'A virus causes yellow fever. The yellow fever virus is a single-stranded RNA virus that belongs to the ''Flavivirus'' genus. After transmission of the virus occurs, it replicates in regional ''lymph nodes'' and subsequently spreads via the bloodstream. This widespread dissemination can affect the bone marrow, spleen, lymph nodes, kidneys, and ''liver'', in addition to other organs. Tissue damage to the liver, for example, can lead to ''jaundice'"" and disrupt the body's blood-clotting mechanism, leading to the hemorrhagic complications sometimes seen with yellow fever."" "
How do people contract yellow fever?,"'The bite of infected mosquitoes transmits yellow fever to humans. Various species of ''Aedes'' and ''Haemagogus'' mosquitoes serve as vectors and are responsible for the transmission to human and nonhuman primates, which serve as reservoirs for the disease. There are three transmission cycles for yellow fever.' Sylvatic (jungle) cycle: In tropical rainforests, infected monkeys pass the virus to mosquitoes that feed on them. These infected mosquitoes then bite humans who enter the rainforest for occupational (for example, loggers) or recreational activities. Intermediate (savannah) cycle: In humid or semi-humid regions of Africa, mosquitoes that breed around households and in the wild (semi-domestic mosquitoes) infect both humans and monkeys. The virus can be transmitted from monkeys to humans, or from human to human by the mosquitoes. This is the most common type of outbreak in Africa. Urban cycle: When infected humans introduce the virus into urban areas with large numbers of unvaccinated individuals, infected mosquitoes (Aedes aegypti) transmit the disease from human to human. This form of transmission can lead to large epidemics."
What areas are high risk for contracting yellow fever?,"'Yellow fever is endemic in tropical and subtropical regions of both Africa and South America, though an estimated 90% of the worldwide reported infections occur in Africa. Most of the infections on the African continent occur in unvaccinated individuals who inhabit the sub-Saharan region. In Asia, there have been no cases of yellow fever outbreaks. However, this area remains a theoretical risk because the mosquitoes responsible for transmission, as well as the susceptible primates, are there.'""Several factors determine an individual's risk of acquiring yellow fever during travel, including the area of travel, season, immunization status, duration of exposure, activities during travel, and the local rate of virus transmission. Review this information before any travel to endemic areas. Below is a map of areas of risk for yellow fever in Africa (CDC map, 2018)."" "
What is the incubation period for yellow fever?,'The period from contracting the infection to the development of symptoms (incubation period) is generally between three to six days.' 
"Is yellow fever contagious? How long is the contagious period for yellow 
fever?","'The bite of infected mosquitoes (for example, ''Haemagogus leucocelaenus'' and/or ''Aedes serratus'' mosquitoes) transmits yellow fever to humans. Direct contact with other infected individuals does not transmit yellow fever. Humans with yellow fever are infectious and can transmit the virus to uninfected mosquitoes shortly before the onset of fever and for three to five days after the onset of symptoms.' "
What types of specialists treat yellow fever?,"'A variety of specialists may become involved in the care of patients who develop symptoms of yellow fever. Initially, primary care physicians, including family physicians, internists, emergency physicians, and pediatricians, may encounter patients with yellow fever. Infectious-disease specialists care for individuals diagnosed with yellow fever, as well. Patients with yellow fever may see other specialists depending on the severity of their illness and the development of complications (for example, a nephrologist in cases of ''kidney failure'').' "
What are yellow fever symptoms and signs?,"'After infection with the yellow fever virus, many individuals will experience no clinically apparent manifestations of the mosquito-borne disease (asymptomatic), while others will go on to develop a mild, self-limiting ''flu-like'' illness characterized by the following symptoms and signs:''Most patients with this initial acute phase of the disease improve spontaneously after approximately three to four days. However, approximately 15% of patients may enter a second phase of the disease that typically appears after a short remission of symptoms (about 24 hours) from the initial phase of the illness. This next toxic phase of the disease is more severe, at which time the high fever returns and more organ systems become involved. In addition to the above symptoms, the following symptoms and signs may also develop:'  Fever Chills Generalized muscle pain Back pain Headache Malaise Weakness Lack of appetite Nausea Vomiting Abdominal pain Jaundice Bleeding from the gums, nose, eyes, and/or stomach Blood in the stool and blood in the vomit Easy bruising of the skin Kidney failure Confusion Seizures Coma"
How do health care professionals diagnose yellow fever?,"'Because the symptoms during the initial phase of yellow fever are nonspecific and similar to a ''flu'""-like illness, diagnosis during this stage can be difficult. Therefore, health care professionals make a preliminary clinical diagnosis based on the patient's signs and symptoms, the travel history (when and where), the related travel activities, and vaccine history.""'Various blood test abnormalities may be present in individuals with yellow fever, particularly those who go on to develop the second toxic phase of the disease. Blood test abnormalities may include a low white blood cell count (leukopenia), a ''low platelet count'' (''thrombocytopenia''), elevations in ''liver function'' tests, abnormally prolonged blood clotting times, and abnormal ''electrolyte'' and kidney function tests. None of these test results is specific to yellow fever and alone allow the health care provider to make a diagnosis. Urine tests may demonstrate elevated levels of urinary protein and urobilinogen. An ''electrocardiogram'' (''ECG'') may reveal heart conduction or rhythm disturbances if cardiac involvement has occurred.''The laboratory diagnosis of yellow fever requires specialized testing. Blood tests may demonstrate the presence of virus-specific antibodies (IgM and IgG) produced by the immune system in response to the infection, though cross-reactivity with antibodies from other flaviviruses may occur. Therefore, specific antibody testing, such as a plaque reduction neutralization test, may be done for confirmation of yellow fever virus versus others like ''Zika virus''.' "
What is the treatment for yellow fever?,"'There is no specific curative treatment for yellow fever. Treatment is supportive and aimed at relieving the symptoms of the disease, including the ''pain'' and fever. As previously mentioned, the majority of patients who do develop symptoms from yellow fever will experience a mild course of illness that will resolve on its own.''Supportive measures implemented depend on the severity of the disease, and may include''Avoid ''acetylsalicylic acid'' (''Aspirin'') and nonsteroidal anti-inflammatory ''drugs'' (''NSAIDs'') because of the increased risk of bleeding.''For the first few days of illness, infected individuals should also be isolated indoors and/or under mosquito netting in order to prevent further mosquito exposure, thus eliminating the potential for further transmission of the disease.'  oxygen administration, intravenous fluid administration for dehydration, medications to increase blood pressure in cases of circulatory collapse, transfusion of blood products in cases of severe bleeding, antibiotics for secondary bacterial infections, dialysis for kidney failure, and endotracheal intubation (placement of a breathing tube) and mechanical ventilation in cases of respiratory failure."
How long does yellow fever last?,"'For individuals with yellow fever who develop the acute mild course of the illness, the symptoms will generally last about three to four days, and most patients will recover fully. For those individuals who develop the more serious toxic phase of the disease and survive, the course of the illness may last for several weeks depending on the severity of illness and any associated complications.' "
What is the prognosis for people with yellow fever?,"'The prognosis for individuals who develop uncomplicated yellow fever is generally excellent. However, for those patients who go on to develop the toxic phase of yellow fever, case-fatality rates range from 20%-50% depending on the underlying condition of the patient and the availability of supportive resources. If death occurs, it is typically within 10-14 days after the onset of the toxic phase. Infants and those older than 50 years of age tend to have more severe disease and higher mortality rates. Furthermore, host susceptibility and the virulence of the particular infecting strain can also influence mortality rates. In those individuals who survive yellow fever, generally there is no residual permanent organ damage.' "
Is it possible to prevent yellow fever?,"'Vaccination remains the most effective way of preventing yellow fever. The yellow fever vaccine is a safe vaccine with only rare serious adverse events reported. Since the undertaking of the Yellow Fever Initiative in 2006, health care professionals have made visible progress in combating the disease in West Africa with more than 105 million people receiving the vaccine in mass campaigns.''The yellow fever vaccine is a live virus vaccine that provides long-lasting immunity after a single dose. It provides immunity (boosts the immune system) against yellow fever in 95% of individuals within one week of its administration. In select cases, certain individuals should get a booster dose. The vaccine is available for adults and children older than 9 months of age. Health care providers recommended vaccination for travelers going to areas where yellow fever is endemic (at least 10 days before going to the area) and to vaccinate local populations who are at risk. Several countries require travelers to demonstrate proof of yellow fever vaccination status for entry in order to prevent the importation and transmission of yellow fever. Check with a local health department for information regarding designated yellow fever vaccination centers.''Effective mosquito-control measures are also an important component for preventing or minimizing the risk of yellow fever. Avoid mosquito bites by wearing protective clothing (long sleeves and long pants) and remaining in properly screened or air-conditioned accommodations. Furthermore, health care providers advise individuals to apply an EPA-registered insect repellant containing DEET or picaridin on exposed skin; IR 3535 repellent may also be used. These precautions may also help to prevent other mosquito-related infections like ''Zika''.' "
What are the side effects of the yellow fever vaccine?,"""The yellow fever vaccine can have rare but serious adverse side effects. Health care professionals administer the yellow fever vaccine in designated vaccination centers. Health care providers need to consider the individual's underlying health, their risk of exposure to yellow fever, and the contraindications to vaccine administration before recommending it. To minimize the risk of serious adverse events, the Centers for Disease Control and Prevention (CDC) provides the following vaccination recommendations:""'Individuals who do experience side effects from the yellow fever vaccine will generally experience mild symptoms, including low-grade fever, muscle aches, and ''headache''. However, in rare cases, serious adverse events from the yellow fever vaccine can occur including life-threatening anaphylactic reactions, yellow fever vaccine-associated neurologic disease (a condition affecting the nervous system), and yellow fever vaccine-associated viscerotropic disease (a condition affecting the internal organs).' Allergy to vaccine component Age <6 months Symptomatic HIV infection or CD4+ T-lymphocytes <200/mm3 (<15% of total in children aged <6 years) Thymus disorder associated with abnormal immune function Primary immunodeficiencies Malignant neoplasms Transplantation Immunosuppressive and immunomodulatory therapies Age 6-8 months Age ≥60 years Asymptomatic HIV infection and CD4+ T-lymphocytes 200 to 499/mm3 (15%-24% of total in children aged <6 years) Pregnancy Breastfeeding"
Where can people get more information on yellow fever?,"'""''Yellow Fever'',"" World Health Organization (WHO)' "
How much sleep do children need?,"'Just as with adults, the amount of ''sleep'' children need varies with both age and unique needs of the individual. Below are general guidelines for children of various ages. If your child is happy and thriving, but needs more or fewer hours of ''sleep'"" than indicated below - rest assured they will remain healthy. The National Sleep Foundation's 2015 Guidelines recommend the following for sleep in children and ""'teens''.'  1 to 4 weeks old: Neonates spend approximately 65% to 75% of their daily activity in a sleep state. Waking time is of short duration and it is rare for a child of this age to have a ""day-night"" cycle. Their day-night ""clock"" is not functional until 6 to 8 weeks of age. Mothers of newborns should use their infant's sleep pattern to sleep also. 1 to 4 months old: Infants at this early age require sleep 14 to 17 hours 
of sleep per day. Many begin to develop a day-night cycle during the early weeks of this period. 
At this age, many infants have the ability to sleep evening blocks of 5 to 6 hours without interruption; however most will wake for feedings or diaper changes during the night. 4 to 12 months old: Infants in this age range require 12 to 15 hours of sleep daily. Good news for parents 
- they begin to sleep for longer continuous periods at night. Also, early in this time period, many children benefit from multiple daytime naps, though there is significant variability between different infants.  1 to 3 years old: While specialists point out that most toddlers need about 12 to 14 hours of daily sleep, many may be forced to survive on less. Daycare and erratically spaced car trips necessary for the needs of older siblings often deny or disrupt continuous sleep patterns, most often naps. 3 to 6 years old: This age range commonly needs approximately 10 to 13 hours of sleep per day with younger individuals taking a nap after lunch. Any need for napping is generally absent by the time a child enters 1st grade. 7 to 12 years old: Younger children in this age range commonly require 
9 to 11 hours of sleep each night; pre-teens often receive 9 to 10 hours (though some may require more). 12 to 18 years old: Middle and high school student lifestyle requirements (school, after school activities, dinner and finally homework) often reduce the sleep duration from the recommended 8 to 
10 hours to 6 to 8 hours. The various social network computer websites coupled with cell phone text communication 
and television viewing also may cut into a teenager's sleep time."
Can a lack of sleep impact a child's behavior?,"'The symptoms of a lack of sleep are often obvious to watchful parents. Some of these tell-tale signs include: ' recurrently falling asleep in the car (excluding young infants); requiring extreme stimulation and repetitive reminders to get up in the morning;  behavioral abnormalities such as excessive emotionalism, aggression, and crankiness; and  an older child's (over 8 years of age) recurrent need for an afternoon nap."
What is sleep hygiene?,"'A common definition of sleep hygiene is'' '' ""all behavioral and environmental factors that precede sleep and may interfere with sleep."" Daytime sleepiness and trouble sleeping may be a reflection of poor sleep hygiene. Detailed specifics are listed below. General areas to consider include: ' Personal habits: Establish consistent routines around bedtimes and awakening times  Sleep environment: The bedroom should be a slightly cooler temperature 
(between 60 F to 67 F or 15.5 C to 19.4 C), and eliminate any distracting noise in the bedroom Getting ready for bed: Establish a calming pre-sleep ritual (for example, reading, not watching TV) and  Miscellaneous: Examples include limiting intake of foods/liquids/medications which may disrupt a restful sleep"
What are some common sleep disorders in children?,"""The University of Michigan's ""'Sleep Disorders'' program includes five issues that may be disruptive of good sleep practices. These include: ' Sleep deprivation: As noted in the previously, the amount of sleep generally required varies with age and genetic predisposition. Unfortunately many older children, especially teens, do not receive an appropriate amount of sound sleep. Night waking: All children after the first 7 to 8 months of life start to be more sensitive to internal and external stimuli. If an infant has not yet learned to calm himself and resettle back to sleep, the parents commonly are summoned to help the child return to sleep. This pattern may repeat itself several times each night. Separation anxiety: Children experience this emotion commonly at 5 months of age as well as during the toddler years. Such children become anxious and are unable to enter a comfortable sleep pattern unless parents are present.  Resistance to sleep/settling problems: This occurs when your child does not want to go to bed at a reasonable time. Stalling, temper tantrums, and other resistance patterns are common. Parental persistence generally will resolve this common issue. Parasomnias: Parasomnias are problems that disrupt sleep. Examples include night terrors, grinding of teeth, sleepwalking, etc."
Sleep Apnea symptoms in children,"'Sleep apnea'' is an extremely serious sleep pathology in which the child will struggle to breath and possibly stop ''breathing'"". This process most commonly is a consequence of an enlarged tonsil and adenoid tissues that obstruct the child's upper ""'airway'"". Parents of such children will report that it sounds as if their child is being choked during sleep. Complications of sleep apnea include reduced oxygen to the brain and strain of the right side of the heart. If you believe your child may have sleep apnea, you should discuss your concerns with your child's pediatrician. An evaluation by and ENT (ears-nose-throat) specialist is often indicated. It is helpful to either audio/video record such an episode prior to such an evaluation."" "
Parasomnia symptoms in children,"'Parasomnias are disruptive sleep related events. They include several infrequent events (''periodic limb movement disorder'', ''restless leg syndrome'') and more common events (''teeth grinding'', night terrors, and ''nightmares'', sleepwalking, and ''bedwetting''). Periodic limb movement disorder occurs while asleep and is characterized by repetitive leg and (occasionally) arm movement that persist throughout the night. The child or teenager does not complain of any discomfort or abnormal sensations. In contrast, ''restless leg syndrome'' occurs while awake and affected individuals often describe a sensation of their legs ""falling asleep.""''Nightmares occur during REM (dreaming period) sleep and thus are more common later in the night. The child acts scared but may be comforted by their parents. Such children will often be able to remember their dream. Simple parental reassurance and comforting is effective. In contrast, night terrors occur in non-''REM sleep'' and thus generally within the first 4 hours of sleep. The child may become very violent with crying out in a confused manner as well as thrashing of arms and legs. Routine comforting of the child is not helpful and the child will be confused and bewildered if awakened. Generally, the child will rapidly return to a ""normal"" sleep with no memory of the events in the morning.' "
Confusional arousal symptoms in children,"'Confusional arousals are a variant of night terrors in older infants and toddlers that occur during the first half of the nighttime sleep sequence. It is felt that the child is so deeply asleep and the normal waking pattern at the end of the sleep cycle is suppressed. ''The major distinguishing point of confusional arousals versus night terrors is that the former gradually build from moaning, to crying out, and may culminate in the child standing and yelling out apparent random words or phrases. ''Conversely, night terrors tend to have an acute onset with the very rapid development of thrashing and yelling (commonly for the parents or caregivers). Confusional arousal and night terrors share several key points important for the child:' Don't try to awaken the child. They are asleep and if awakened, will have difficult time falling back to sleep. Anything that upsets the normal sleep rhythms (illness, not sleeping in their own home, and disrupted naps) may trigger either pattern."
Night terror symptoms in children,"'Night terrors are somewhat rare events that have their highest frequency in children 4 to 12 years of age. They are commonly outgrown by adulthood, though some adults manifest the same brain ''EEG'' (""brain wave"") changes during sleepwalking. ''Night terrors differ from nightmares (see previously). Night terrors manifest themselves with the person bolting upright in bed, screaming and thrashing about and stare blankly at the concerned adult who has come to investigate. They tend to occur during the first third of the child\'s sleep cycle. Children characteristically do not ""calm down"" when their parent attempts to soothe what appears to be a fearful experience. EEG studies demonstrate that the child is not awake (i.e. he/she is asleep), and if awakened, has no knowledge or memory of the immediately preceding events. The duration of night terror episodes is short lived. Some authorities believe that night terrors may be a response to sleep deprivation, ''stress'', ''fever'', or ''fatigue''.' "
Narcolepsy symptoms in children,"'Narcolepsy'' is more common in adults than children. It has been defined as ""a chronic sleep disorder characterized by overwhelming daytime drowsiness and sudden attacks of sleep. Narcolepsy is a chronic condition for which there is no cure."" Research has shown that narcolepsy is not a type of ''seizure'', ''fainting'' episode, or psychological illness. Symptoms of narcolepsy include:' Excessive daytime sleepiness: affected individuals have an uncontrollable need to sleep during the day; Sudden loss of muscle tone (Cataplexy): this may range from slurred speech to total collapse of all voluntary muscles. Emotional stimulation (often positive by nature, for example, laughter) may trigger such an attack; Sleep paralysis: Characterized by a temporary (1-2 minutes) period of the inability to speak or move when falling asleep or waking; Vivid or frightening hallucinations which occur most commonly during REM (dreaming) sleep."
Sleepwalking symptoms in children,"'The onset of sleepwalking (somnambulism) typically presents in prepubertal children most frequently at age 11 to 12, and occurs more often in boys than girls. The overall incidence of sleepwalking is approximately 18%. Like night terrors, the individual is difficult to arouse during the event and does not remember the experience. Sleepwalking most commonly occurs during the first third of the sleep cycle. Some sleepwalkers may also mumble during sleepwalking episodes and occasionally obscene words may be uttered. Medications are rarely necessary to manage sleepwalking episodes. Ensuring a safe environment (protection against falls or ''walking'' out of the house) and maintenance of good sleep habits (avoiding sleep deprivation) are important considerations to prevent sleepwalking.' "
Do teenagers have the same sleep requirements as younger children?,"'Most teens need about 8 to 10 hours of sleep per day. Some studies have indicated that they have a different internal ""sleep clock"" than those younger or older than them. Researchers have demonstrated that teens are truly ""night owls,"" and if left to their own devices, would spontaneously wake from a good night\'s sleep anywhere from 9:00 am to 10:00 am. High school teachers who have classes before this time period have empiric experience to second this observation. Younger children may need anywhere from 12-15 hours (infant: 2 naps plus nighttime long block) to 9-11 hours (middle school child). ' "
How can I teach my child or teenager healthy sleep habits and good sleep hygiene?,"'Primary to establishing good sleep habits is a realization that sleep is a normal and necessary function. However, just as with other normal and necessary functions (for example, eating, toilet training, etc.), a battle may develop between parents and their child in this area. ''All children older than 5 to 6 months of age need to master the ability to self-soothe and relax in order to successfully fall asleep. Depriving them of this skill by either feeding or rocking them to sleep, reading until the child falls asleep, or lying down with the child in order to facilitate falling asleep, is a recipe for frustration - both for the child and the parent. ''Tired children (of any age) intuitively know when they are tired and, if provided the proper environment, will easily and quickly fall asleep. ''When they awaken during the middle of the night they are capable of falling back to sleep without parental intervention. In this circumstance, both child and parents awake refreshed the next morning.' "
What are some ways I can help my child or teenager get a better night's sleep?,"'These ""do\'s"" are adapted from ""''Sleep Problems'': Your Child"" University of Michigan Health Care System and ""Healthy Sleep Tips"" from the National Sleep Foundation.'  Make bedtime a special time. Create special soothing and calming experiences with the opportunity for special ""talks"" or sharing experiences that foster comfort for both child and parent. Study your child so you can determine when he is ready to sleep. Once this is determined you can start the ""get ready for bed"" routine with enough time in advance so the child doesn't get a ""second wind"". Keep the bedtime routine consistent and simple. Mental and physical stimulation is counter productive. Dim lights starting about 10 – 15 minutes before going to sleep.  Bright lights act as a stimulant to the child's brain.   Keep the bedtime routine portable. For example, it can occur whether at home or outside of the home (for example, in a motel during vacation). Make sure your child is both mentally and physically tired at the end of the day. Children need between 30 to 60 minutes per day of vigorous playtime (depending on the age). Besides fostering good sleep habits, such a program will help maintain optimum weight gain. Establish a restful atmosphere. Keep the lights dim, limit noise and electronic devices. Teens should turn off computers/TV's and cell phones when retiring to bed. 
The bedroom temperature should be between 60 F and 67 F or 15.5 C to 19.4 C. Avoid afternoon naps in children over 6 years of age."
"What are some ""don'ts"" for getting my child or teen to sleep?","'These ""don\'ts"" are adapted from ""Sleep Problems: Your Child"" University of Michigan Health Care System.' Don't put your child to bed with a bottle of juice, milk or formula. Sugar in such drinks promotes tooth decay. Water is acceptable. Don't fill up the bed with toys. Limit the crib/bed to one to two ""special"" items. Too many items are over stimulating and the child will have a hard time not playing with them. Eliminate any object that might be a safety hazard. Don't threaten to send your child to bed as a punishment. Bedtime should be an enjoyable experience that will promote falling asleep in a timely fashion. Avoid caffeine before bed: Caffeinated drinks such as cola, chocolate, iced tea, 
energy drinks, etc. Limit TV in the afternoon and at night. TV stimulation may carry on longer than you suspect. Having a TV in a child's room may be counterproductive to getting your child or teen to sleep. A 2014 National Sleep Foundation study indicates that 72% of children 6 years old to 17 years old have at least one electronic device in their bedroom.  These children may get up to one hour less sleep per night as their peers without such devices in the bedroom."
